Current (pA),Frequency (Hz)
67.33466933867736,19
67.73547094188378,20
68.13627254509018,20
68.5370741482966,20
68.93787575150301,20
69.33867735470942,20
69.73947895791584,20
70.14028056112225,20
70.54108216432866,20
70.94188376753507,20
71.34268537074149,20
71.7434869739479,20
72.14428857715431,20
72.54509018036072,21
72.94589178356713,21
73.34669338677355,21
73.74749498997996,21
74.14829659318637,21
74.54909819639279,21
74.9498997995992,21
75.35070140280561,21
75.75150300601203,21
76.15230460921843,21
76.55310621242485,21
76.95390781563127,21
77.35470941883767,21
77.75551102204409,21
78.15631262525051,22
78.55711422845691,22
78.95791583166333,22
79.35871743486975,22
79.75951903807615,22
80.16032064128257,22
80.56112224448898,22
80.96192384769539,22
81.3627254509018,22
81.76352705410822,22
82.16432865731463,22
82.56513026052104,22
82.96593186372746,22
83.36673346693387,22
83.76753507014028,22
84.1683366733467,22
84.5691382765531,23
84.96993987975952,23
85.37074148296594,23
85.77154308617234,23
86.17234468937876,23
86.57314629258518,23
86.97394789579158,23
87.374749498998,23
87.77555110220442,23
88.17635270541082,23
88.57715430861724,23
88.97795591182366,23
89.37875751503006,23
89.77955911823648,23
90.1803607214429,23
90.5811623246493,23
90.98196392785572,23
91.38276553106213,23
91.78356713426854,23
92.18436873747495,23
92.58517034068136,24
92.98597194388778,24
93.3867735470942,24
93.7875751503006,24
94.18837675350701,24
94.58917835671343,24
94.98997995991984,24
95.39078156312625,24
95.79158316633267,24
96.19238476953907,24
96.59318637274549,24
96.99398797595191,24
97.39478957915831,24
97.79559118236473,24
98.19639278557115,24
98.59719438877755,24
98.99799599198397,24
99.39879759519039,24
99.79959919839679,24
100.20040080160321,24
100.60120240480963,24
101.00200400801603,24
101.40280561122245,24
101.80360721442887,24
102.20440881763527,25
102.60521042084169,25
103.0060120240481,25
103.40681362725451,25
103.80761523046093,25
104.20841683366734,25
104.60921843687375,25
105.01002004008016,25
105.41082164328658,25
105.81162324649299,25
106.2124248496994,25
106.61322645290582,25
107.01402805611222,25
107.41482965931864,25
107.81563126252506,25
108.21643286573146,25
108.61723446893788,25
